158023,94,94,€110.5M,€565K,€226.5M
20801,94,94,€77M,€405K,€127.1M
190871,92,93,€118.5M,€290K,€228.1M
193080,91,93,€72M,€260K,€138.6M
192985,91,92,€102M,€355K,€196.4M
183277,91,91,€93M,€340K,€172.1M
177003,91,91,€67M,€420K,€137.4M
176580,91,91,€80M,€455K,€164M
155862,91,91,€51M,€380K,€104.6M
200389,90,93,€68M,€94K,€144.5M
188545,90,90,€77M,€205K,€127.1M
182521,90,90,€76.5M,€355K,€156.8M
182493,90,90,€44M,€125K,€90.2M
168542,90,90,€60M,€285K,€111M
215914,89,90,€63M,€225K,€121.3M
211110,89,94,€89M,€205K,€153.5M
202126,89,91,€83.5M,€205K,€160.7M
194765,89,90,€78M,€145K,€165.8M
192448,89,92,€58M,€240K,€123.3M
192119,89,90,€53.5M,€240K,€113.7M
189511,89,89,€51.5M,€315K,€105.6M
179813,89,89,€60M,€200K,€111M
167495,89,89,€38M,€130K,€62.7M
153079,89,89,€64.5M,€300K,€119.3M
138956,89,89,€27M,€215K,€44.6M
231747,88,95,€81M,€100K,€166.1M
209331,88,89,€69.5M,€255K,€137.3M
200145,88,90,€59.5M,€285K,€126.4M
198710,88,89,€69.5M,€315K,
198219,88,88,€62M,€165K,€105.4M
197781,88,91,€73.5M,€315K,€156.2M
190460,88,91,€73.5M,€205K,€141.5M
189242,88,89,€69.5M,€340K,€147.7M
188567,88,88,€59M,€265K,€112.1M
178603,88,88,€46M,€160K,€75.9M
176676,88,88,€43M,€285K,€88.2M
173731,88,88,€60M,€355K,€123M
167948,88,88,€36M,€150K,€66.6M
167664,88,88,€57M,€245K,
164240,88,88,€24M,€165K,€44.4M
162835,88,88,€30M,€110K,€51M
1179,88,88,€4M,€77K,€7.4M
205600,87,92,€57M,€205K,€121.1M
201399,87,90,€64.5M,€130K,€114.5M
201024,87,90,€51M,€115K,€90.5M
195864,87,91,€64M,€210K,€123.2M
193041,87,87,€30.5M,€195K,€62.5M
192505,87,89,€62.5M,€230K,€120.3M
192387,87,87,€52M,€115K,€88.4M
189332,87,87,€38M,€250K,€77.9M
175943,87,87,€45M,€135K,€76.5M
172871,87,87,€34M,€155K,€62.9M
171877,87,87,€46.5M,€125K,€79.1M
168651,87,87,€46.5M,€260K,€95.3M
152729,87,87,€34M,€240K,€69.7M
222492,86,92,€61M,€195K,€125.1M
218667,86,91,€59.5M,€180K,€114.5M
210257,86,90,€41.5M,€125K,€79.9M
208722,86,87,€52M,€195K,€102.7M
203376,86,88,€44.5M,€165K,€87.9M
202652,86,89,€56.5M,€195K,€108.8M
201942,86,87,€53M,€195K,€104.7M
201535,86,91,€50M,€210K,€106.3M
199556,86,89,€55M,€135K,€105.9M
191043,86,86,€36.5M,€160K,€60.2M
190483,86,86,€46.5M,€175K,€76.7M
189596,86,86,€45M,€135K,€74.3M
189509,86,86,€45.5M,€130K,€75.1M
188350,86,86,€43.5M,€100K,€74M
184432,86,86,€35M,€175K,€64.8M
184344,86,86,€30M,€160K,€49.5M
184087,86,87,€39M,€150K,€75.1M
180206,86,86,€44M,€180K,€72.6M
177509,86,86,€30M,€160K,€49.5M
176635,86,86,€43.5M,€190K,€82.7M
135507,86,86,€18M,€185K,€33.3M
41,86,86,€21.5M,€21K,€26.9M
232363,85,92,€46.5M,€82K,€88.4M
223848,85,90,€50.5M,€73K,€89.6M
220834,85,92,€54M,€215K,€121.5M
216594,85,89,€50M,€92K,€98.8M
212831,85,90,€36.5M,€115K,€72.1M
212622,85,88,€40.5M,€92K,€69.9M
208421,85,90,€50.5M,€77K,€107.3M
204485,85,85,€40.5M,€205K,€74.9M
197445,85,87,€38M,€110K,€65.6M
193747,85,86,€45M,€88K,€95.6M
193301,85,86,€45M,€180K,€88.9M
192774,85,87,€37.5M,€96K,€66.6M
192366,85,85,€28.5M,€170K,€52.7M
189513,85,85,€37M,€66K,€77.7M
187961,85,85,€37M,€235K,
186153,85,87,€32M,€125K,€55.2M
184941,85,85,€37.5M,€215K,€69.4M
184267,85,85,€39M,€28K,€78M
183907,85,85,€30M,€115K,€49.5M
181872,85,85,€26M,€205K,€53.3M
181458,85,85,€37.5M,€110K,€63.8M
180930,85,85,€30.5M,€115K,€51.9M
179846,85,85,€33M,€160K,€54.5M
179844,85,85,€38.5M,€100K,€78.9M
178518,85,85,€35.5M,€105K,€60.4M
171919,85,85,€9M,€38K,€15.3M
170890,85,85,€26M,€145K,€42.9M
168609,85,85,€15.5M,€96K,€26.4M
165153,85,85,€37M,€240K,€75.9M
164169,85,85,€21.5M,€81K,€44.1M
139720,85,85,€22M,€170K,€40.7M
120533,85,85,€9M,€57K,€17.1M
41236,85,85,€14M,€15K,€21M
220793,84,88,€34M,€105K,€65.5M
216460,84,88,€34M,€63K,€72.3M
212462,84,87,€32M,€22K,€66.4M
212218,84,88,€34M,€135K,€65.5M
212198,84,88,€40.5M,€22K,€84M
212190,84,90,€36.5M,€84K,€67.5M
211300,84,90,€42.5M,€165K,€87.1M
211117,84,90,€42.5M,€115K,€87.1M
209499,84,88,€34M,€120K,€67.2M
207865,84,89,€35.5M,€90K,€68.3M
207566,84,86,€31.5M,€38K,€68.5M
205498,84,87,€38M,€155K,€73.2M
204970,84,87,€39M,€72K,€77M
204963,84,87,€31.5M,€185K,€66.9M
202556,84,89,€42M,€93K,€83M
200104,84,85,€37M,€125K,€71.2M
199482,84,86,€25M,€72K,€49.4M
198176,84,86,€31.5M,€88K,€55.9M
198009,84,89,€29.5M,€105K,€50.9M
193082,84,84,€29.5M,€150K,€48.7M
192629,84,84,€30M,€45K,€63M
192563,84,87,€27M,€115K,€53.3M
191202,84,84,€24M,€165K,€44.4M
190941,84,84,€22M,€74K,€37.4M
190584,84,84,€31M,€51K,€65.1M
188377,84,84,€24.5M,€165K,€45.3M
186942,84,84,€32M,€175K,€59.2M
185020,84,84,€27.5M,€105K,€46.8M
183898,84,84,€29.5M,€125K,€54.6M
181783,84,84,€25M,€160K,€41.3M
180403,84,84,€30.5M,€175K,€56.4M
178750,84,85,€24M,€42K,€52.2M
178562,84,84,€29M,€31K,€60.9M
177413,84,84,€24M,€77K,€40.8M
177388,84,84,€27.5M,€75K,€52.3M
176769,84,84,€16.5M,€25K,€33M
172879,84,84,€23M,€140K,€43.7M
167628,84,84,€19M,€41K,€36.1M
167397,84,84,€25M,€115K,€47.5M
163587,84,84,€19M,€78K,€36.1M
157481,84,84,€18M,€88K,€30.6M
143076,84,84,€30M,€53K,€51M
137186,84,84,€4.2M,€95K,€6.9M
20775,84,84,€15.5M,€80K,€29.5M
9014,84,84,€15.5M,€110K,€25.6M
231443,83,92,€40M,€155K,€90M
230666,83,92,€41M,€130K,€84.1M
230481,83,83,€28M,€51K,€50.4M
230375,83,83,€22.5M,€43K,€40.5M
230294,83,83,€28.5M,€60K,€54.2M
225850,83,89,€30.5M,€82K,€62.5M
220971,83,88,€34M,€120K,€67.2M
219683,83,88,€34M,€85K,€58.7M
213565,83,89,€35.5M,€64K,€79.9M
213345,83,87,€34M,€85K,€58.7M
213331,83,88,€29.5M,€67K,€52.4M
212523,83,90,€36.5M,€18K,
212188,83,87,€34.5M,€70K,€61.2M
210008,83,87,€33M,€91K,€63.5M
209658,83,88,€34M,€85K,€58.7M
208808,83,84,€30.5M,€28K,€66.3M
208670,83,86,€32.5M,€28K,€47.9M
208618,83,83,€27M,€205K,€55.4M
208418,83,86,€33M,€20K,€73.4M
208093,83,85,€32M,€53K,€69.6M
207863,83,83,€20M,€22K,€40M
207410,83,89,€35M,€165K,
206585,83,91,€28.5M,€84K,€58.4M
206545,83,84,€30M,€49K,€65.3M
206113,83,88,€34.5M,€85K,€59.5M
204935,83,88,€25M,€78K,€49.4M
204639,83,86,€26M,€67K,€55.3M
203574,83,87,€28.5M,€125K,€54.9M
202651,83,86,€33M,€115K,€58.6M
202166,83,86,€32.5M,€91K,€62.6M
201995,83,85,€31.5M,€110K,€62.2M
200949,83,84,€31M,€115K,€59.7M
200888,83,86,€27M,€21K,€56M
200724,83,85,€24.5M,€180K,€52.1M
200316,83,87,€24M,€25K,€37.8M
199914,83,83,€26.5M,€87K,€45.1M
199845,83,83,€19M,€64K,€32.3M
199564,83,86,€26.5M,€170K,€56.3M
198329,83,84,€30.5M,€57K,€66.3M
197965,83,83,€25.5M,€22K,€51M
195365,83,83,€26.5M,€74K,€45.1M
194404,83,84,€21M,€41K,€45.7M
193698,83,84,€21M,€42K,€37.3M
193474,83,83,€21M,€125K,€39.9M
192883,83,83,€25.5M,€145K,€48.5M
192638,83,84,€24M,€130K,€46.2M
192593,83,83,€13M,€70K,€24.7M
190547,83,83,€19M,€86K,€36.1M
189712,83,83,€21M,€66K,€39.9M
189068,83,83,€26M,€26K,€52M
188152,83,84,€30.5M,€29K,€69.4M
186627,83,83,€27.5M,€55K,€52.3M
185221,83,83,€19M,€63K,€36.1M
184942,83,83,€26M,€64K,€44.2M
179944,83,83,€17.5M,€130K,€32.4M
179783,83,84,€20M,€38K,€35.5M
178088,83,83,€24.5M,€160K,€45.3M
178086,83,83,€15.5M,€55K,€31.8M
178005,83,83,€16.5M,€74K,€31.4M
177683,83,84,€20M,€35K,€35.5M
177610,83,83,€20M,€94K,€33M
177457,83,83,€20M,€82K,€34M
176266,83,83,€17.5M,€64K,€29.8M
163705,83,83,€13M,€51K,€24.7M
162895,83,83,€22M,€140K,€40.7M
162240,83,83,€24M,€120K,€44.4M
156616,83,83,€11.5M,€72K,€19M
104389,83,83,€13M,€33K,€22.1M
53302,83,83,€8M,€80K,€13.6M
24630,83,83,€6M,€56K,€10.2M
236583,82,85,€19.5M,€30K,€34.6M
235243,82,91,€27M,€11K,€43.2M
231866,82,87,€29M,€59K,€61.6M
230658,82,90,€32.5M,€125K,€73.1M
230621,82,93,€29M,€23K,€55.1M
230258,82,82,€16.5M,€46K,€31.4M
230225,82,82,€6.5M,€39K,€12.4M
230168,82,82,€14M,€32K,€25.2M
227055,82,87,€29.5M,€59K,€62.7M
224411,82,86,€29M,€36K,€63.1M
223959,82,87,€25M,€98K,€49.4M
222737,82,89,€31.5M,€140K,€70.9M
221087,82,87,€21.5M,€21K,€46.8M
220814,82,88,€25.5M,€53K,€57.4M
220440,82,88,€26M,€135K,€58.5M
216354,82,83,€26M,€54K,€46.2M
216267,82,87,€24.5M,€98K,€48.4M
216194,82,83,€20M,€33K,€43.5M
212404,82,87,€29.5M,€110K,€50.9M
212194,82,88,€30.5M,€68K,€58M
211320,82,86,€24.5M,€95K,€42.3M
210617,82,86,€29M,€94K,€51.5M
210514,82,88,€25.5M,€95K,€47.2M
210413,82,89,€26.5M,€84K,€50.4M
209989,82,88,€25.5M,€59K,€57.4M
209297,82,84,€26.5M,€140K,€51M
208830,82,82,€20M,€96K,€38M
208596,82,87,€30M,€58K,€53.3M
208448,82,83,€26M,€67K,€46.2M
207494,82,83,€26.5M,€140K,€51M
207471,82,82,€21.5M,€27K,€45.2M
205678,82,82,€22.5M,€40K,€42.8M
205452,82,84,€22.5M,€110K,€43.3M
203551,82,83,€20.5M,€73K,€36.4M
203263,82,85,€23.5M,€77K,€46.4M
202371,82,83,€21M,€87K,€40.4M
